id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
531.0,1.0,1.0,0.9317368443961856,1.0,0.9976336696018107,1.0,0.9904341522642754,1.0,0.9709678009744926,0.9867552775418423,0.9602636548881137,1.0
532.0,1.0,1.0,0.9321222936632844,1.0,0.9966050138437269,1.0,0.9898613468609264,1.0,0.9632770737460729,0.9835577569304381,0.9531959191739003,1.0
533.0,1.0,1.0,0.9322982628303029,1.0,0.9990883262756912,1.0,0.9910890011663331,1.0,0.9756081501790821,0.9892191308476581,0.9647875581517861,1.0
534.0,1.0,1.0,0.932502591330972,1.0,0.9970217277728938,1.0,0.9901052263784197,1.0,0.9778884384351353,0.9908108560936634,0.9671277056952053,1.0
535.0,1.0,1.0,0.9325340135485288,1.0,0.9909148994463932,1.0,0.9844247412379313,1.0,0.9342024620995926,0.9692398066551389,0.9266137271627929,0.9911871467771466
536.0,1.0,1.0,0.9338399352230559,1.0,0.9948968716979104,1.0,0.988674034264403,1.0,0.9648456673768757,0.9841784303962509,0.9546270256402871,1.0
537.0,1.0,1.0,0.9339752513389415,1.0,1.0,1.0,0.991511035277948,1.0,0.9812504052472036,0.9941449800656298,0.9707154415888959,1.0
538.0,1.0,1.0,0.9341465079322736,1.0,1.0,1.0,0.9921557234990088,1.0,0.9839786923482099,0.9986208053336543,0.9738871124283776,1.0
539.0,1.0,1.0,0.9342792073132208,1.0,0.988802349885207,1.0,0.9811924667121923,1.0,0.9126672947446598,0.9525834780412459,0.9066221600680956,0.9910218641088343
540.0,1.0,1.0,0.9342894040096811,1.0,0.9877408128788572,1.0,0.9794089294141399,1.0,0.8719457235555416,0.9279440987425936,0.8763529159561085,0.9929413085459434
541.0,1.0,1.0,0.934449872383444,1.0,1.0,1.0,0.9921058829842084,1.0,0.9817789286141956,0.994845452221678,0.9713015734153011,1.0
542.0,1.0,1.0,0.9347105079472565,1.0,1.0,1.0,0.9914756485885442,1.0,0.9812668523254238,0.9941658307920929,0.9707335435781435,1.0
543.0,1.0,1.0,0.9351167662740281,1.0,0.9919899617130281,1.0,0.9858083675982592,1.0,0.9617373014694445,0.9829511215693351,0.9517883886481577,0.999784103666365
544.0,1.0,1.0,0.9351347666609953,1.0,0.9916644674169655,1.0,0.9854092165081282,1.0,0.9473494331998272,0.9767973529076127,0.9385975855433436,0.9935431891498063
545.0,1.0,1.0,0.9362026241837671,1.0,1.0,1.0,0.9915336662082477,1.0,0.9787993890352088,0.99156715425156,0.968083558452584,1.0
546.0,1.0,1.0,0.9362616119976945,1.0,1.0,1.0,0.9919208090523419,1.0,0.9830087744451983,0.9967595079507467,0.9727110011025852,1.0
547.0,1.0,1.0,0.9367264117809869,1.0,0.9977210591399407,1.0,0.9904784086973275,1.0,0.9781581959196621,0.9910261526544205,0.9674096025445988,1.0
548.0,1.0,1.0,0.9367770035539082,1.0,0.9906955666725291,1.0,0.9841194271826854,1.0,0.9316687429314018,0.9674343289215467,0.9242579899984038,0.9909750689781548
549.0,1.0,1.0,0.936797660073518,1.0,0.9985389342125409,1.0,0.9908615262026128,1.0,0.9795859658152668,0.9922956091734194,0.9689172049396091,1.0
550.0,1.0,1.0,0.9368287803803168,1.0,0.9893768696391435,1.0,0.982129164107595,1.0,0.9336005876490683,0.9688233175309797,0.9260584638335613,0.9911306259029324
551.0,1.0,1.0,0.9368477891826876,1.0,0.9900995079632448,1.0,0.9832512971957141,1.0,0.9381619286403662,0.9718037713401452,0.9302261491002543,0.9916602105178366
552.0,1.0,1.0,0.9368477891826876,1.0,0.9973820273258444,1.0,0.9903029739519107,1.0,0.9751020197235868,0.9889097967148983,0.9642788429027083,1.0
553.0,1.0,1.0,0.9369580825366073,1.0,0.9970836288643952,1.0,0.9901400496848201,1.0,0.9709139508500259,0.9867304211923968,0.9602129065987353,1.0
554.0,1.0,1.0,0.9371956519478927,1.0,0.9963968125815883,1.0,0.9897331654040263,1.0,0.9685603433153575,0.9856941093079272,0.9580239089681182,1.0
555.0,1.0,1.0,0.9372407754702805,1.0,1.0,1.0,0.9923609085926072,1.0,0.9867585546114113,1.0,0.9777944887749432,1.0
556.0,1.0,1.0,0.9373209764406253,1.0,0.9953291575876024,1.0,0.9890049693774289,1.0,0.964831584403831,0.9841728306267578,0.9546141856477501,1.0
557.0,1.0,1.0,0.93735931903274,1.0,0.9953219000682493,1.0,0.988999592429438,1.0,0.96772504140218,0.9853441411825077,0.9572565358588447,1.0
558.0,1.0,1.0,0.9375157381589343,1.0,1.0,1.0,0.9923584533791874,1.0,0.9857005511928385,1.0,0.9761935911605709,1.0
559.0,1.0,1.0,0.9375450974058223,1.0,0.9982425138463933,1.0,0.9907290149352521,1.0,0.975499529376758,0.9891516253789562,0.9646780537509044,1.0
560.0,1.0,1.0,0.937930156144607,1.0,1.0,1.0,0.9915266889904953,1.0,0.9799031290445959,0.992612695352698,0.9692556785495102,1.0
561.0,1.0,1.0,0.9382681116678873,1.0,1.0,1.0,0.9920853304023781,1.0,0.9840697353393092,0.9988143593321525,0.9740013361251886,1.0
