provinsi;aal_gempa_500_bmn;aal_gempa_500_fd;aal_gempa_500_fs;aal_gempa_250_bmn;aal_gempa_250_fd;aal_gempa_250_fs;aal_gempa_100_bmn;aal_gempa_100_fd;aal_gempa_100_fs;aal_banjir_100_bmn;aal_banjir_100_fd;aal_banjir_100_fs;aal_banjir_50_bmn;aal_banjir_50_fd;aal_banjir_50_fs;aal_banjir_25_bmn;aal_banjir_25_fd;aal_banjir_25_fs;aal_gunungberapi_250_bmn;aal_gunungberapi_250_fd;aal_gunungberapi_250_fs;aal_gunungberapi_100_bmn;aal_gunungberapi_100_fd;aal_gunungberapi_100_fs;aal_gunungberapi_50_bmn;aal_gunungberapi_50_fd;aal_gunungberapi_50_fs;aal_longsor_5_bmn;aal_longsor_5_fd;aal_longsor_5_fs;aal_longsor_2_bmn;aal_longsor_2_fd;aal_longsor_2_fs;aal_gempa_500_total;aal_gempa_250_total;aal_gempa_100_total;aal_banjir_100_total;aal_banjir_50_total;aal_banjir_25_total;aal_gunungberapi_250_total;aal_gunungberapi_100_total;aal_gunungberapi_50_total;aal_longsor_5_total;aal_longsor_2_total
JAWA TIMUR;800660301090.1227;1524706771824.778;180323500181.11453;1585538805038.9565;3003719768298.4487;352579156738.78296;3229181447107.1846;6409349910440.701;766716022842.7955;138439859541.65784;122942983459.37085;12210408118.191507;72366949875.24046;109777682192.07173;9343006994.315828;115096373940.50076;171222842094.7019;14353739447.050232;40603688029.47726;77790683623.08937;9154370199.577448;123056201938.10243;235739054191.08984;27743835167.81868;207226599555.93887;397015631502.2848;46720608388.0228;802326467760.4541;1525234052471.3887;179936491553.63824;1499648804148.3923;2890995829186.145;340759181587.9053;2505690573096.0156;4941837730076.188;10405247380390.682;273593251119.22018;191487639061.62802;300672955482.25287;127548741852.14407;386539091297.0109;650962839446.2465;2507497011785.481;4731403814922.442
KALIMANTAN BARAT;55191971708.52399;239346172902.67;53260771386.5184;102219818776.8579;433862800260.86554;103177871627.89828;230295576025.76953;984597852738.8934;244116912713.8689;10811213916.132517;48631488231.50125;4198470797.422892;39921528198.031815;56033972358.67392;9303129595.571363;53679412259.683846;101008964446.18925;18078521970.08308;11454591806.980453;31998947729.300503;4656239013.531225;34715037744.72447;96868944028.49516;14111503563.54824;58460111006.13898;163127266707.75037;23763766897.06818;54201343840.958305;237704664777.25314;53248362572.57382;100607059827.48853;429745666461.0704;101619735427.18683;347798915997.7124;639260490665.6217;1459010341478.532;63641172945.056656;105258630152.2771;172766898675.95618;48109778549.81219;145695485336.76788;245351144610.95752;345154371190.7853;631972461715.7457
KALIMANTAN SELATAN;71150480607.04735;157411451213.0186;44078605266.24215;118809333639.47928;257378954746.60538;79459117179.2448;236124239419.1196;477726307504.09033;164834043896.90692;8243443171.470715;15744664016.210865;3063197513.736075;15678264040.707422;15435663715.382818;1875623497.049464;17182656075.00249;15112068959.713387;3005718003.9546127;5742245353.920749;14102866761.046757;3197478526.1488347;17402825658.034184;42741073638.27721;9690488285.71602;29306352113.75417;71975952547.96913;16318778768.22237;68989684101.892;159994395765.10107;44453084510.80757;117411976792.17392;251220741160.67627;77309433858.73227;272640537086.30807;455647405565.32947;878684590820.117;27051304701.417656;32989551253.139706;35300443038.67049;23042590641.11634;69834387582.0274;117601083429.94566;273437164377.80066;445942151811.5825
KALIMANTAN TENGAH;64374380205.08584;258857457978.07422;73472494445.33572;119119711366.47316;460977335645.1236;144129197940.99213;278238218389.44574;1031787289259.7566;328818135412.5154;18547378623.60706;54308453013.813805;5069133771.51562;26579413687.12323;81166211505.36694;7142171587.561282;19338617600.771214;130660788150.44586;10931283323.335293;5605041958.14166;29048373906.099243;4782404480.548225;16987008041.53275;88035908530.46149;14493868908.676197;28606115397.96157;148252438123.8556;24407669999.96709;63325068551.18096;254890279137.1902;73120924671.8244;119636824025.03598;461401639516.6138;140950045598.05624;396704332628.4957;724226244952.5889;1638843643061.7178;77924965408.9365;114887796780.05145;160930689074.55237;39435820344.78913;119516785480.67043;201266223521.78427;391336272360.19556;721988509139.706
KALIMANTAN TIMUR;159563470719.50116;69310592919.96507;40180890126.40229;318821097125.6379;122949785365.9983;78301736670.86792;716289171739.6456;291154947287.37335;185310908737.28015;9170047045.807688;19338431161.33463;4408498659.501524;7975057983.732523;25028482843.122654;4951727804.173265;14058991262.75202;48740159814.78992;9377375732.335316;13197478260.193403;16960241002.592089;3938173339.908373;39997143823.02096;51400819556.55609;11935286603.305506;67355175731.52128;86558961542.23344;20099018323.12875;159515309018.9806;74369813609.47159;40529090348.02678;309610039470.32886;126544883688.54669;77154804168.45587;269054953765.86853;520072619162.5041;1192755027764.2993;32916976866.643845;37955268631.02844;72176526809.87726;34095892602.693863;103333249982.88257;174013155596.88348;274414212976.47894;513309727327.3314
KALIMANTAN UTARA;584293093475.4594;82155411036.75569;24646174449.538353;1183160253856.287;158696128861.96622;47666137644.47836;2718444652368.3584;362844047457.8224;109321976721.31505;90519026560.05968;5543777340.29859;1647199553.2922757;122716133729.62622;6472195831.909037;1959360721.4906576;245652545246.4296;11871459677.97697;3171762956.8086405;29582505314.307903;4536217237.816402;1306143926.720944;89654682233.5372;13747757692.51774;3967687169.4024963;150978452454.3457;23151218981.81496;6681583758.213028;586378539301.1167;82161133014.38762;24626712640.23114;1165683109066.8745;155725011337.86108;46724766824.31164;691094678961.7534;1389522520362.7317;3190610676547.4956;97710003453.65054;131147690283.02592;260695767881.2152;35424866478.84525;107370127095.45744;180811255194.37372;693166384955.7354;1368132887229.047
KEPULAUAN BANGKA BELITUNG;20502097248.771885;11619270489.663467;1913042882.8834999;35326763138.00688;17778183624.412487;3730367226.2629333;75839342949.74478;38451706382.96904;9375762244.789282;5039795301.12776;4227558897.5236397;257805880.59724587;3468221149.9041095;6567995885.422241;427950620.80304;5433708619.755273;11515487584.902733;661690493.0966486;1693733472.7545438;4120935250.0322394;342208974.70913893;5133139829.596164;12489176843.582909;1037120979.4112127;8644205616.450115;21031769287.42101;1746511354.2153308;19767611302.04209;14266730982.145596;2003500422.2796228;35395885434.19432;17648743643.010036;3700614410.383262;34034410621.31885;56835313988.682304;123666811577.5031;9525160079.248646;10464167656.12939;17610886697.754654;6156877697.495922;18659437652.590286;31422486258.086456;36037842706.46731;56745243487.58762
KEPULAUAN RIAU;212185028572.4022;95995572692.69667;12189078200.421595;423408817378.5652;184810423060.95505;24357815088.908783;1075931192875.3618;444211517472.49207;59752224673.33582;31634895519.48604;7614036396.575296;406113203.02558684;58094132520.91246;13101696507.494928;749166515.9663886;111972012444.51906;24316799599.195656;1480229458.3058176;10985938706.008991;8231988959.026756;700698756.9316897;33294706897.186813;24940335420.702255;2133416224.4745584;56068274372.60072;41999515827.86809;3592672150.3862925;211607962187.38525;96187485077.1238;12249155682.903662;423604601371.4993;184064021091.4139;24073350530.62941;320369679465.52045;632577055528.4291;1579894935021.19;39655045119.08692;71944995544.37378;137769041502.02054;19918626421.967438;60368458542.363625;101660462350.8551;320044602947.4127;631741972993.5426
LAMPUNG;117950436449.13542;492347911400.1887;16745068927.096785;185223918125.88715;798388028116.2809;24188858348.61159;405643284600.7604;1534306808683.1592;32240343383.999184;18803346123.8225;35038871301.15449;984325211.2558019;4676224715.283019;29187965281.284435;2253861966.454902;8565617767.718276;40939789324.42584;4577724433.265277;8307378626.539135;31811204044.266125;1125636708.3002567;25176886914.842075;96409122883.7025;3411428488.588961;42397868458.441956;162352928066.23087;5744844340.914556;122772274752.91711;501120115318.0833;15502481878.093359;197402422854.27448;800738110341.3922;22904710780.21564;627043416776.4209;1007800804590.7795;1972190436667.9187;54826542636.23279;36118051963.022354;54083131525.40939;41244219379.105515;124997438287.13353;210495640865.58737;639394871949.0939;1021045243975.8824
MALUKU;271957825433.96515;250745379984.18927;12526726004.229671;477424865918.5372;445729503471.9787;22738078455.581165;979956944421.2339;920478984974.9493;48779225281.57065;37248094914.312904;19259210267.86118;1139126922.6307914;16445765459.779364;19374079143.479916;1073278757.3077954;17268299997.28859;24673867839.423813;1721938376.0161262;16039829702.701279;17104478590.793741;1176028053.9456286;48611360660.52553;51837955458.29787;3564147808.104171;81861513770.22894;87295098242.66023;6002023619.741579;265385849680.64038;250586762033.31732;12521838829.166237;464809469348.4576;438787984828.7926;22449333652.0628;535229931422.3841;945892447846.097;1949215154677.7537;57646432104.80488;36893123360.56707;43664106212.72853;34320336347.440647;104013463926.92757;175158635632.63074;528494450543.12396;926046787829.313
MALUKU UTARA;120128272024.04823;151140524057.36243;14314357732.353533;227806246986.93005;280951276108.32916;28325192764.051334;548830566124.6488;650153573888.6776;70015536590.39493;8001042039.840734;13362792880.573954;722635281.477144;10083050411.178713;21765619909.24298;721404234.3538682;18137356777.640972;36827413583.38699;1006523332.9838798;7275338143.346109;9837005204.354576;796348521.3069841;22049117289.18887;29834885948.32778;2413466096.4767323;37130705540.11549;50241937146.09429;4064276033.5475616;118299166979.62523;149019384965.75467;14310442153.968882;227570085678.387;279894037087.8163;28262866211.66083;285583153813.76416;537082715859.31055;1268999676603.7214;22086470201.89183;32570074554.77556;55971293694.01185;17908691869.00767;54297469333.99338;91436918719.75734;281628994099.34875;535726988977.8641
NUSA TENGGARA BARAT;249478748989.42963;401390248615.3255;66039427814.457634;504402278087.0006;810443118619.1108;133280608594.60872;1303531085556.8381;2083521769739.0862;343755615096.43713;1204594235.6607003;4862173175.023252;673215093.1171963;19977796759.228313;39229830016.67823;7018799203.14517;4424233549.988612;33898005978.362938;5671901243.907418;12683165168.958353;20539455122.55554;3394550284.5768275;38438432812.12748;62238578856.48146;10287746891.481253;64730306952.94213;104825981292.36469;17324562044.31036;250418026181.08383;401888507737.24884;66115794031.90203;505762278686.1944;811762685370.0134;133574815376.74841;716908425419.2128;1448126005300.72;3730808470392.3613;6739982503.801148;66226425979.05171;43994140772.258965;36617170576.09072;110964758560.0902;186880850289.6172;718422327950.2346;1451099779432.956
NUSA TENGGARA TIMUR;185939560056.7534;650485727309.9655;195198695548.52994;375793565435.7337;1313628086842.5122;394234257986.18915;965160614236.2487;3370899922687.3926;1012239033259.4991;1775346393.6205943;9298738745.898676;1481288516.2763064;14360956501.278654;80984167240.89467;18439695518.704052;7860815195.368039;69826780016.4336;20737168045.43484;9441116548.944883;33317816294.497467;9924772133.53989;28612867474.61692;100914357737.5068;30031720168.320095;48184058478.35337;170042134357.98706;50652462384.89263;186091835592.13556;651425046284.7712;195520966840.06342;375871082731.38776;1315548998876.1418;395049218788.2652;1031623982915.2488;2083655910264.435;5348299570183.141;12555373655.795576;113784819260.87738;98424763257.23648;52683704976.98224;159558945380.44382;268878655221.23306;1033037848716.9702;2086469300395.7947
PAPUA;40996883910.434715;94483715635.55579;6804711620.595616;73822632134.89;174919329086.55963;13283530077.73069;172522135102.608;413429995981.88104;33051483770.30456;3834967480.794419;10352863266.117065;703382161.5950173;4880277861.482037;14099028795.720222;105643372.53068285;11756290589.157896;23354936260.722893;53426113.389922656;2438080026.2875915;6375866654.236737;396332106.6805522;7389005349.4227495;19323119958.083042;1201150095.499428;12443082335.920906;32540127020.49101;2022736326.3806903;40292961685.25542;93140381736.99129;6759512510.500743;74494565722.65233;175426319288.46152;13305951007.736633;142285311166.58612;262025491299.18033;619003614854.7936;14891212908.5065;19084950029.73294;35164652963.27071;9210278787.20488;27913275403.00522;47005945682.7926;140192855932.74744;263226836018.85046
PAPUA BARAT;67714510479.92317;43020151858.06541;3412280258.0222874;127893514478.40555;84185332247.98216;6783021998.01401;315373308633.2378;208732348125.4896;16832735628.286037;14127713004.88111;4343493157.997226;214397509.56585452;2928498824.0056686;6080230623.111877;156762267.69519076;5084490693.820867;14635095946.724472;208630612.2533021;5947927110.818204;2704089903.399151;194559607.861014;18026178290.27247;8195192342.377815;589645117.3736198;30356077720.984917;13800700940.469902;992962164.3902161;69925861394.35892;42887165804.18717;3413622731.0449924;128084529348.28705;84037199838.94505;6757768522.125266;114146942596.01088;218861868724.4017;540938392387.0134;18685603672.444187;9165491714.812737;19928217252.79864;8846576622.078367;26811015750.023903;45149740825.84503;116226649929.59108;218879497709.3574
PAPUA BARAT DAYA;396756632.2848007;64510935070.83453;3757525467.36786;645108561.8748561;127209046809.43549;7420877408.074564;1191928882.7702658;289834351954.54944;16345199750.742554;99148414.11118123;4212264027.6125364;317316435.98851;136189821.63966432;5833965649.11198;289416246.278245;191866287.99411136;12752968283.904732;1711180081.3314035;40123818.62814031;3406218195.743409;189565584.42594245;121601878.23450273;10323108428.878258;574509902.1718963;204777518.96508694;17384110860.49711;967474467.4647241;382164332.8255444;64432184328.5253;3760622804.104778;630724935.2093894;122283599190.47122;7025053004.611165;68665217170.48719;135275032779.38492;307371480588.06226;4628728877.712228;6259571717.02989;14656014653.230247;3635907598.797492;11019220209.284657;18556362846.92692;68574971465.45562;129939377130.29178
PAPUA PEGUNUNGAN;429539428.6470169;190183620966.22125;20295357490.770554;861900798.0577612;346331220524.9745;36972435208.91451;2139365964.5080037;725968621325.3622;72958196461.27069;0.0;19830885812.82092;1730964165.6274202;0.0;32691096671.02919;1814040091.4344504;0.0;46420174005.12369;2597000982.7731876;21645521.962781627;10915740951.820072;1184642023.9007573;65600339.54979581;33081960975.95912;3590253870.8223534;110470948.07506767;55710010318.20072;6045986219.916776;429539428.6470169;187572509393.4865;19971472175.65786;852936585.7401412;337171174260.171;35340520840.21782;210908517885.6388;384165556531.9467;801066183751.1409;21561849978.448338;34505136762.46364;49017174987.89687;12122028497.68361;36737815186.33127;61866467486.192566;207973520997.79138;373364631686.12897
PAPUA SELATAN;97709283254.67433;83771838962.27115;6415836812.412297;194139346724.52823;160555526926.4559;12118248996.706633;337805091101.0502;367375418991.33215;26691282737.899086;614152627.6703292;8060364999.921307;410768867.2972045;1027199910.9817203;7184056439.749773;560323308.2029724;850022666.1459477;11095923650.701714;568601007.3764782;4951223549.559425;4840233675.411354;375427541.3813734;15005503059.548481;14669129862.209011;1137795347.846543;25269261724.98461;24702809382.326748;1916046954.2478194;97763580426.2272;85778090538.16263;6582723873.841773;173353786991.01334;158688939484.12738;11968437122.996994;187896959029.3578;366813122647.69073;731871792830.2814;9085286494.888842;8771579658.934465;12514547324.22414;10166884766.352154;30812428269.604034;51888118061.55917;190124394838.2316;344011163598.13776
PAPUA TENGAH;15347643262.242327;234471127367.93045;19184309259.55831;28570903821.700863;436366183519.48987;33550815528.52208;58952168371.310356;923508495192.4758;69206056107.92752;2146391183.136231;17887889571.24333;1382731676.2153337;3296939293.5933695;31625281053.97098;1261026848.2726455;6066020147.1240835;56361641574.12592;2294291040.1024885;911232791.2871394;13773714051.386806;1113539426.0433042;2761641905.430988;41743521832.663315;3374765670.9839926;4650603969.895873;70296075668.11682;5683104169.328252;15140580666.400223;232073695361.1753;18641120266.226894;28276603692.5883;423729734679.68085;33173849506.457615;269003079889.7311;498487902869.7128;1051666719671.7136;21417012430.59489;36183247195.837;64721952761.35249;15798486268.71725;47879929409.07829;80629783807.34094;265855396293.8024;485180187878.7268
RIAU;149191067537.81415;437568382098.77637;37488888101.82768;256744037540.0906;739923167023.5175;73416157892.2965;493151931400.1297;1475093934380.1194;179510063118.87567;10481585231.425856;27374849892.680115;855396131.0047176;12255997159.163881;43772234966.551636;2824665112.0788474;18971647338.799774;88373438559.264;6755188437.043247;8393000910.662891;27331490126.815147;1990949384.8721108;25436525007.389297;82832607862.44196;6033901880.427719;42835098912.38376;139490081680.87674;10161088584.256552;140681292229.30118;422699519396.40936;37239560213.61313;243891181723.58667;727522341322.9121;72846068174.74847;624248337738.4182;1070083362455.9045;2147755928899.1248;38711831255.11069;58852897237.794365;114100274335.10703;37715440422.35015;114303034750.25897;192486269177.51706;600620371839.3237;1044259591221.2473
SULAWESI BARAT;26880342740.01017;96177766395.25934;3202261219.2741575;51725998927.3922;172723871261.0197;5839256016.815681;127491262571.228;333307780006.42236;10870105032.116913;10263303821.613514;6297813979.851664;152814119.42750692;3121683642.523688;4413542417.731248;76471201.63661508;3421333747.016445;5281693070.368485;124767801.50504291;2369948175.0411506;6037541160.187387;195173344.01002935;7182520489.2466955;18297768510.04905;591505146.4289883;12095361906.067316;30813435552.85803;996094452.6467084;26734416268.000145;95547332627.92831;3196546014.1113896;51931822140.833176;163729811956.98248;5420871121.7139845;126260370354.54366;230289126205.2276;471669147609.76733;16713931920.892685;7611697261.891551;8827794618.889973;8602662679.238567;26071794145.724735;43904891911.57205;125478294910.03986;221082505219.52966
SULAWESI SELATAN;229627916745.40182;589115750190.809;16596487751.036415;384073209925.407;970468014362.0063;28006485273.271896;858137743455.5759;1890461939656.2715;54640342142.32476;34357040256.53299;40277781494.001755;845401277.4317248;41920696695.811966;50712820542.425865;902932019.5601016;20707548891.355186;67158259044.12183;1168630721.7352698;19891969067.450256;38349571954.39386;1090747575.5349784;60285907051.93043;116224729813.5503;3305691192.905561;101521445670.8234;195722402969.04758;5566782773.227512;246849166577.9469;590353043266.171;16658285121.109756;400320676125.93445;965609780924.2651;27601818137.148674;835340154687.2472;1382547709560.6853;2803240025254.1724;75480223027.96648;93536449257.79793;89034438657.2123;59332288597.3791;179816328058.38626;302810631413.0985;853860494965.2277;1393532275187.3484
